Time,Light,Diuron,Block,t0,celld,lncelld,PI
72,20,0.11,2,35.24612,125.94344,4.835832917,1.012390192
72,20,0.11,3,39.6347,114.65852,4.74195832,0.929296694
72,20,0.11,4,34.61918,167.32148,5.119916992,0.977363859
72,20,0.33,2,35.4551,126.77936,4.842448253,1.02771364
72,20,0.33,3,45.69512,155.20064,5.044718731,0.95016989
72,20,0.33,4,46.53104,162.72392,5.092055022,0.972060034
72,20,1,2,48.62084,165.85862,5.111135739,0.914524138
72,20,1,3,47.78492,180.48722,5.195659972,0.901645957
72,20,1,4,46.949,270.5576,5.600485015,0.891198919
72,20,3,2,46.949,153.94676,5.036606828,0.761971652
72,20,3,3,40.47062,152.69288,5.028428584,0.659511967
72,20,3,4,42.56042,255.51104,5.543265618,0.730021936
72,20,0,2,47.78492,166.27658,5.113652546,1
72,20,0,3,63.24944,178.81538,5.186353877,1
72,20,0,4,43.60532,135.97448,4.912467221,1
72,5,0.11,2,32.11142,131.79488,4.881246775,1.53063495
72,5,0.11,3,32.94734,146.00552,4.983644429,1.486786991
72,5,0.11,4,30.85754,129.91406,4.866873155,1.516836809
72,5,0.33,2,35.4551,118.83812,4.777762231,1.483620927
72,5,0.33,3,67.42904,157.91738,5.062071985,1.442549781
72,5,0.33,4,44.44124,169.82924,5.134793462,1.509716265
72,5,1,2,51.54656,115.49444,4.74922239,1.36138237
72,5,1,3,54.68126,185.9207,5.225320239,1.17424363
72,5,1,4,40.6796,168.78434,5.128621805,1.357794275
72,5,3,2,68.8919,37.96286,3.636608313,1.131322745
72,5,3,3,57.60698,88.95398,4.488119157,0.838431284
72,5,3,4,44.23226,110.26994,4.70293136,1.029982781
72,5,0,2,50.29268,148.51328,5.000674382,1
72,5,0,3,46.53104,157.91738,5.062071985,1
72,5,0,4,55.3082,168.1574,5.124900446,1
72,80,0.11,2,29.1857,126.77936,4.842448253,0.936780779
72,80,0.11,3,44.65022,102.53768,4.630230341,0.927023824
72,80,0.11,4,42.97838,143.70674,4.967774695,0.930166203
72,80,0.33,2,33.57428,162.51494,5.090769936,0.915406294
72,80,0.33,3,38.79878,128.24222,4.853920819,0.873745709
72,80,0.33,4,39.6347,164.81372,5.104815866,0.918798172
72,80,1,2,46.949,179.86028,5.192180327,0.839256819
72,80,1,3,52.38248,140.78102,4.947205634,0.765370092
72,80,1,4,40.6796,165.85862,5.111135739,0.824275773
72,80,3,2,60.11474,148.51328,5.000674382,0.739523749
72,80,3,3,56.98004,194.90684,5.272521701,0.626047833
72,80,3,4,59.69678,228.13466,5.429936069,0.716361399
72,80,0,2,51.1286,154.78268,5.042022069,1
72,80,0,3,44.23226,150.3941,5.013259182,1
72,80,0,4,55.3082,173.3819,5.155496676,1